pokedex_number;name;german_name;generation;status;species;type_number;type_1;type_2;height_m;weight_kg;hp;attack;defense;sp_attack;sp_defense;speed;catch_rate;percentage_male;egg_cycles;against_normal;against_fire;against_water;against_electric;against_grass;against_ice;against_fight;against_poison;against_ground;against_flying;against_psychic;against_bug;against_rock;against_ghost;against_dragon;against_dark;against_steel;against_fairy
12;Butterfree;Smettbo;1;Normal;Butterfly;2;Bug;Flying;1.1;32.0;60;45;50;90;80;70;45;50.0;15;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
13;Weedle;Hornliu;1;Normal;Hairy Bug;2;Bug;Poison;0.3;3.2;40;35;30;20;20;50;255;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
14;Kakuna;Kokuna;1;Normal;Cocoon;2;Bug;Poison;0.6;10.0;45;25;50;25;25;35;120;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
15;Beedrill;Bibor;1;Normal;Poison Bee;2;Bug;Poison;1.0;29.5;65;90;40;45;80;75;45;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
15;Mega Beedrill;Bibor;1;Normal;Poison Bee;2;Bug;Poison;1.4;40.5;65;150;40;15;80;145;45;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
16;Pidgey;Taubsi;1;Normal;Tiny Bird;2;Normal;Flying;0.3;1.8;40;45;40;35;35;56;255;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
17;Pidgeotto;Tauboga;1;Normal;Bird;2;Normal;Flying;1.1;30.0;63;60;55;50;50;71;120;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
18;Pidgeot;Tauboss;1;Normal;Bird;2;Normal;Flying;1.5;39.5;83;80;75;70;70;101;45;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
18;Mega Pidgeot;Tauboss;1;Normal;Bird;2;Normal;Flying;2.2;50.5;83;80;80;135;80;121;45;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
19;Rattata;Rattfratz;1;Normal;Mouse;1;Normal;;0.3;3.5;30;56;35;25;35;72;255;50.0;15;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
19;Alolan Rattata;Rattfratz;1;Normal;Mouse;2;Dark;Normal;0.3;3.8;30;56;35;25;35;72;255;50.0;15;1;1;1;1;1;1;4;1;1;1;0;2;1;0;1;0.5;1;2
20;Raticate;Rattikarl;1;Normal;Mouse;1;Normal;;0.7;18.5;55;81;60;50;70;97;127;50.0;15;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
20;Alolan Raticate;Rattikarl;1;Normal;Mouse;2;Dark;Normal;0.7;25.5;75;71;70;40;80;77;127;50.0;15;1;1;1;1;1;1;4;1;1;1;0;2;1;0;1;0.5;1;2
21;Spearow;Habitak;1;Normal;Tiny Bird;2;Normal;Flying;0.3;2.0;40;60;30;31;31;70;255;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
22;Fearow;Ibitak;1;Normal;Beak;2;Normal;Flying;1.2;38.0;65;90;65;61;61;100;90;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
23;Ekans;Rettan;1;Normal;Snake;1;Poison;;2.0;6.9;35;60;44;40;54;55;255;50.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
24;Arbok;Arbok;1;Normal;Cobra;1;Poison;;3.5;65.0;60;95;69;65;79;80;90;50.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
25;Pikachu;Pikachu;1;Normal;Mouse;1;Electric;;0.4;6.0;35;55;40;50;50;90;190;50.0;10;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
25;Partner Pikachu;Pikachu;1;Normal;Mouse;1;Electric;;0.4;6.0;45;80;50;75;60;120;190;50.0;10;1;1;1;0;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
26;Raichu;Raichu;1;Normal;Mouse;1;Electric;;0.8;30.0;60;90;55;90;80;110;75;50.0;10;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
26;Alolan Raichu;Raichu;1;Normal;Mouse;2;Electric;Psychic;0.7;21.0;60;85;50;95;85;110;75;50.0;10;1;1;1;0;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
27;Sandshrew;Sandan;1;Normal;Mouse;1;Ground;;0.6;12.0;50;75;85;20;30;40;255;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
27;Alolan Sandshrew;Sandan;1;Normal;Mouse;2;Ice;Steel;0.7;40.0;50;75;90;10;35;40;255;50.0;20;0.5;4;1;1;0.5;0.25;4;0;2;0.5;0.5;0.5;1;1;0.5;1;1;0.5
28;Sandslash;Sandamer;1;Normal;Mouse;1;Ground;;1.0;29.5;75;100;110;45;55;65;90;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
28;Alolan Sandslash;Sandamer;1;Normal;Mouse;2;Ice;Steel;1.2;55.0;75;100;120;25;65;65;90;50.0;20;0.5;4;1;1;0.5;0.25;4;0;2;0.5;0.5;0.5;1;1;0.5;1;1;0.5
29;Nidoranâ™€;Nidoranâ™€;1;Normal;Poison Pin;1;Poison;;0.4;7.0;55;47;52;40;40;41;235;0.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
30;Nidorina;Nidorina;1;Normal;Poison Pin;1;Poison;;0.8;20.0;70;62;67;55;55;56;120;0.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
31;Nidoqueen;Nidoqueen;1;Normal;Drill;2;Poison;Ground;1.3;60.0;90;92;87;75;85;76;45;0.0;20;1;1;2;0;1;2;0.5;0.25;2;1;2;0.5;0.5;1;1;1;1;0.5
32;Nidoranâ™‚;Nidoranâ™‚;1;Normal;Poison Pin;1;Poison;;0.5;9.0;46;57;40;40;40;50;235;100.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
33;Nidorino;Nidorino;1;Normal;Poison Pin;1;Poison;;0.9;19.5;61;72;57;55;55;65;120;100.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
34;Nidoking;Nidoking;1;Normal;Drill;2;Poison;Ground;1.4;62.0;81;102;77;85;75;85;45;100.0;20;1;1;2;0;1;2;0.5;0.25;2;1;2;0.5;0.5;1;1;1;1;0.5
35;Clefairy;Piepi;1;Normal;Fairy;1;Fairy;;0.6;7.5;70;45;48;60;65;35;150;25.0;10;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
36;Clefable;Pixi;1;Normal;Fairy;1;Fairy;;1.3;40.0;95;70;73;95;90;60;25;25.0;10;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
37;Vulpix;Vulpix;1;Normal;Fox;1;Fire;;0.6;9.9;38;41;40;50;65;65;190;25.0;20;1;0;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
37;Alolan Vulpix;Vulpix;1;Normal;Fox;1;Ice;;0.6;9.9;38;41;40;50;65;65;190;25.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
38;Ninetales;Vulnona;1;Normal;Fox;1;Fire;;1.1;19.9;73;76;75;81;100;100;75;25.0;20;1;0;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
38;Alolan Ninetales;Vulnona;1;Normal;Fox;2;Ice;Fairy;1.1;19.9;73;67;75;81;100;109;75;25.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
39;Jigglypuff;Pummeluff;1;Normal;Balloon;2;Normal;Fairy;0.5;5.5;115;45;20;45;25;20;170;25.0;10;1;1;1;1;1;1;1;2;1;1;1;0.5;1;0;0;0.5;2;1
40;Wigglytuff;Knuddeluff;1;Normal;Balloon;2;Normal;Fairy;1.0;12.0;140;70;45;85;50;45;50;25.0;10;1;1;1;1;1;1;1;2;1;1;1;0.5;1;0;0;0.5;2;1
41;Zubat;Zubat;1;Normal;Bat;2;Poison;Flying;0.8;7.5;40;45;35;30;40;55;255;50.0;15;1;1;1;2;0.25;2;0.25;0.5;0;1;2;0.25;2;1;1;1;1;0.5
42;Golbat;Golbat;1;Normal;Bat;2;Poison;Flying;1.6;55.0;75;80;70;65;75;90;90;50.0;15;1;1;1;2;0.25;2;0.25;0.5;0;1;2;0.25;2;1;1;1;1;0.5
43;Oddish;Myrapla;1;Normal;Weed;2;Grass;Poison;0.5;5.4;45;50;55;75;65;30;255;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
44;Gloom;Duflor;1;Normal;Weed;2;Grass;Poison;0.8;8.6;60;65;70;85;75;40;120;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
45;Vileplume;Giflor;1;Normal;Flower;2;Grass;Poison;1.2;18.6;75;80;85;110;90;50;45;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
46;Paras;Paras;1;Normal;Mushroom;2;Bug;Grass;0.3;5.4;35;70;55;45;55;25;190;50.0;20;1;4;0.5;0.5;0.25;2;0.5;2;0.25;4;1;2;2;1;1;1;1;1
47;Parasect;Parasek;1;Normal;Mushroom;2;Bug;Grass;1.0;29.5;60;95;80;60;80;30;75;50.0;20;1;4;0.5;0.5;0.25;2;0.5;2;0.25;4;1;2;2;1;1;1;1;1
48;Venonat;Bluzuk;1;Normal;Insect;2;Bug;Poison;1.0;30.0;60;55;50;40;55;45;190;50.0;20;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
49;Venomoth;Omot;1;Normal;Poison Moth;2;Bug;Poison;1.5;12.5;70;65;60;90;75;90;75;50.0;20;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
50;Diglett;Digda;1;Normal;Mole;1;Ground;;0.2;0.8;10;55;25;35;45;95;255;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
50;Alolan Diglett;Digda;1;Normal;Mole;2;Ground;Steel;0.2;1.0;10;55;30;35;45;90;255;50.0;20;0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5
51;Dugtrio;Digdri;1;Normal;Mole;1;Ground;;0.7;33.3;35;100;50;50;70;120;50;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
51;Alolan Dugtrio;Digdri;1;Normal;Mole;2;Ground;Steel;0.7;66.6;35;100;60;50;70;110;50;50.0;20;0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5
52;Meowth;Mauzi;1;Normal;Scratch Cat;1;Normal;;0.4;4.2;40;45;35;40;40;90;255.0;50.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
52;Alolan Meowth;Mauzi;1;Normal;Scratch Cat;1;Dark;;0.4;4.2;40;35;35;50;40;90;255.0;50.0;20;1;1;1;1;1;1;2;1;1;1;0;2;1;0.5;1;0.5;1;2
52;Galarian Meowth;Mauzi;1;Normal;Scratch Cat;1;Steel;;0.4;7.5;50;65;55;40;40;40;;;20;0.5;2;1;1;0.5;0.5;2;0;2;0.5;0.5;0.5;0.5;1;0.5;1;0.5;0.5
53;Persian;Snobilikat;1;Normal;Classy Cat;1;Normal;;1.0;32.0;65;70;60;65;65;115;90;50.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
53;Alolan Persian;Snobilikat;1;Normal;Classy Cat;1;Dark;;1.1;33.0;65;60;60;75;65;115;90;50.0;20;1;1;1;1;1;1;2;1;1;1;0;2;1;0.5;1;0.5;1;2
54;Psyduck;Enton;1;Normal;Duck;1;Water;;0.8;19.6;50;52;48;65;50;55;190;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
55;Golduck;Entoron;1;Normal;Duck;1;Water;;1.7;76.6;80;82;78;95;80;85;75;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
56;Mankey;Menki;1;Normal;Pig Monkey;1;Fighting;;0.5;28.0;40;80;35;35;45;70;190;50.0;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
57;Primeape;Rasaff;1;Normal;Pig Monkey;1;Fighting;;1.0;32.0;65;105;60;60;70;95;75;50.0;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
58;Growlithe;Fukano;1;Normal;Puppy;1;Fire;;0.7;19.0;55;70;45;70;50;60;190;75.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
59;Arcanine;Arkani;1;Normal;Legendary;1;Fire;;1.9;155.0;90;110;80;100;80;95;75;75.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
60;Poliwag;Quapsel;1;Normal;Tadpole;1;Water;;0.6;12.4;40;50;40;40;40;90;255;50.0;20;1;0.5;0;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
61;Poliwhirl;Quaputzi;1;Normal;Tadpole;1;Water;;1.0;20.0;65;65;65;50;50;90;120;50.0;20;1;0.5;0;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
62;Poliwrath;Quappo;1;Normal;Tadpole;2;Water;Fighting;1.3;54.0;90;95;95;70;90;70;45;50.0;20;1;0.5;0;2;2;0.5;1;1;1;2;2;0.5;0.5;1;1;0.5;0.5;2
63;Abra;Abra;1;Normal;Psi;1;Psychic;;0.9;19.5;25;20;15;105;55;90;200;75.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
64;Kadabra;Kadabra;1;Normal;Psi;1;Psychic;;1.3;56.5;40;35;30;120;70;105;100;75.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
65;Alakazam;Simsala;1;Normal;Psi;1;Psychic;;1.5;48.0;55;50;45;135;95;120;50;75.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
65;Mega Alakazam;Simsala;1;Normal;Psi;1;Psychic;;1.2;48.0;55;50;65;175;105;150;50;75.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
66;Machop;Machollo;1;Normal;Superpower;1;Fighting;;0.8;19.5;70;80;50;35;35;35;180;75.0;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
67;Machoke;Maschock;1;Normal;Superpower;1;Fighting;;1.5;70.5;80;100;70;50;60;45;90;75.0;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
68;Machamp;Machomei;1;Normal;Superpower;1;Fighting;;1.6;130.0;90;130;80;65;85;55;45;75.0;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
69;Bellsprout;Knofensa;1;Normal;Flower;2;Grass;Poison;0.7;4.0;50;75;35;70;30;40;255;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
70;Weepinbell;Ultrigaria;1;Normal;Flycatcher;2;Grass;Poison;1.0;6.4;65;90;50;85;45;55;120;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
71;Victreebel;Sarzenia;1;Normal;Flycatcher;2;Grass;Poison;1.7;15.5;80;105;65;100;70;70;45;50.0;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
72;Tentacool;Tentacha;1;Normal;Jellyfish;2;Water;Poison;0.9;45.5;40;40;35;50;100;70;190;50.0;20;1;0.5;0.5;2;1;0.5;0.5;0.5;2;1;2;0.5;1;1;1;1;0.5;0.5
73;Tentacruel;Tentoxa;1;Normal;Jellyfish;2;Water;Poison;1.6;55.0;80;70;65;80;120;100;60;50.0;20;1;0.5;0.5;2;1;0.5;0.5;0.5;2;1;2;0.5;1;1;1;1;0.5;0.5
74;Geodude;Kleinstein;1;Normal;Rock;2;Rock;Ground;0.4;20.0;40;80;100;30;30;20;255;50.0;15;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
74;Alolan Geodude;Kleinstein;1;Normal;Rock;2;Rock;Electric;0.4;20.3;40;80;100;30;30;20;255;50.0;15;0.5;0.5;2;0.5;2;1;2;0.5;4;0.25;1;1;1;1;1;1;1;1
75;Graveler;Georok;1;Normal;Rock;2;Rock;Ground;1.0;105.0;55;95;115;45;45;35;120;50.0;15;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
75;Alolan Graveler;Georok;1;Normal;Rock;2;Rock;Electric;1.0;110.0;55;95;115;45;45;35;120;50.0;15;0.5;0.5;2;0.5;2;1;2;0.5;4;0.25;1;1;1;1;1;1;1;1
76;Golem;Geowaz;1;Normal;Megaton;2;Rock;Ground;1.4;300.0;80;120;130;55;65;45;45;50.0;15;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
76;Alolan Golem;Geowaz;1;Normal;Megaton;2;Rock;Electric;1.7;316.0;80;120;130;55;65;45;45;50.0;15;0.5;0.5;2;0.5;2;1;2;0.5;4;0.25;1;1;1;1;1;1;1;1
77;Ponyta;Ponita;1;Normal;Fire Horse;1;Fire;;1.0;30.0;50;85;55;65;65;90;190.0;50.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
77;Galarian Ponyta;Ponita;1;Normal;Unique Horn;1;Psychic;;0.8;24.0;50;85;55;65;65;90;;;20;1;0;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
78;Rapidash;Gallopa;1;Normal;Fire Horse;1;Fire;;1.7;95.0;65;100;70;80;80;105;60.0;50.0;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
78;Galarian Rapidash;Gallopa;1;Normal;Unique Horn;2;Psychic;Fairy;1.7;80.0;65;100;70;80;80;105;;;20;1;0;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
79;Slowpoke;Flegmon;1;Normal;Dopey;2;Water;Psychic;1.2;36.0;90.0;65.0;65.0;40.0;40.0;15.0;190.0;50.0;20.0;1;0.5;0.5;2;2;0.5;0.5;1;1;1;0.5;2;1;2;1;2;0.5;1
80;Slowbro;Lahmus;1;Normal;Hermit Crab;2;Water;Psychic;1.6;78.5;95.0;75.0;110.0;100.0;80.0;30.0;75.0;50.0;20.0;1;0.5;0.5;2;2;0.5;0.5;1;1;1;0.5;2;1;2;1;2;0.5;1
80;Mega Slowbro;Lahmus;1;Normal;Hermit Crab;2;Water;Psychic;2.0;120.0;95.0;75.0;180.0;130.0;80.0;30.0;75.0;50.0;20.0;1;0.5;0.5;2;2;0.5;0.5;1;1;1;0.5;2;1;2;1;2;0.5;1
81;Magnemite;Magnetilo;1;Normal;Magnet;2;Electric;Steel;0.3;6.0;25;35;70;95;55;45;190;;20;0.5;2;1;0.5;0.5;0.5;2;0;4;0.25;0.5;0.5;0.5;1;0.5;1;0.25;0.5
82;Magneton;Magneton;1;Normal;Magnet;2;Electric;Steel;1.0;60.0;50;60;95;120;70;70;60;;20;0.5;2;1;0.5;0.5;0.5;2;0;4;0.25;0.5;0.5;0.5;1;0.5;1;0.25;0.5
83;Farfetch'd;Porenta;1;Normal;Wild Duck;2;Normal;Flying;0.8;15.0;52;90;55;58;62;60;45.0;50.0;20;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
83;Galarian Farfetch'd;Porenta;1;Normal;Wild Duck;1;Fighting;;0.8;42.0;52;95;55;58;62;55;;;20;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
84;Doduo;Dodu;1;Normal;Twin Bird;2;Normal;Flying;1.4;39.2;35;85;45;35;35;75;190;50.0;20;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
85;Dodrio;Dodri;1;Normal;Triple Bird;2;Normal;Flying;1.8;85.2;60;110;70;60;60;110;45;50.0;20;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
86;Seel;Jurob;1;Normal;Sea Lion;1;Water;;1.1;90.0;65;45;55;45;70;45;190;50.0;20;1;0.25;0.5;2;2;0.25;1;1;1;1;1;1;1;1;1;1;0.5;1
87;Dewgong;Jugong;1;Normal;Sea Lion;2;Water;Ice;1.7;120.0;90;70;80;70;95;70;75;50.0;20;1;0.5;0.5;2;2;0.125;2;1;1;1;1;1;2;1;1;1;1;1
88;Grimer;Sleima;1;Normal;Sludge;1;Poison;;0.9;30.0;80;80;50;40;50;25;190;50.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
88;Alolan Grimer;Sleima;1;Normal;Sludge;2;Poison;Dark;0.7;42.0;80;80;50;40;50;25;190;50.0;20;1;1;1;1;0.5;1;1;0.5;2;1;0;1;1;0.5;1;0.5;1;1
89;Muk;Sleimok;1;Normal;Sludge;1;Poison;;1.2;30.0;105;105;75;65;100;50;75;50.0;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
89;Alolan Muk;Sleimok;1;Normal;Sludge;2;Poison;Dark;1.0;52.0;105;105;75;65;100;50;75;50.0;20;1;1;1;1;0.5;1;1;0.5;2;1;0;1;1;0.5;1;0.5;1;1
90;Shellder;Muschas;1;Normal;Bivalve;1;Water;;0.3;4.0;30;65;100;45;25;40;190;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
91;Cloyster;Austos;1;Normal;Bivalve;2;Water;Ice;1.5;132.5;50;95;180;85;45;70;60;50.0;20;1;1;0.5;2;2;0.25;2;1;1;1;1;1;2;1;1;1;1;1
92;Gastly;Nebulak;1;Normal;Gas;2;Ghost;Poison;1.3;0.1;30;35;30;100;35;80;190;50.0;20;0;1;1;1;0.5;1;0;0.25;0;1;2;0.25;1;2;1;2;1;0.5
93;Haunter;Alpollo;1;Normal;Gas;2;Ghost;Poison;1.6;0.1;45;50;45;115;55;95;90;50.0;20;0;1;1;1;0.5;1;0;0.25;0;1;2;0.25;1;2;1;2;1;0.5
94;Gengar;Gengar;1;Normal;Shadow;2;Ghost;Poison;1.5;40.5;60;65;60;130;75;110;45;50.0;20;0;1;1;1;0.5;1;0;0.25;2;1;2;0.25;1;2;1;2;1;0.5
94;Mega Gengar;Gengar;1;Normal;Shadow;2;Ghost;Poison;1.4;40.5;60;65;80;170;95;130;45;50.0;20;0;1;1;1;0.5;1;0;0.25;2;1;2;0.25;1;2;1;2;1;0.5
95;Onix;Onix;1;Normal;Rock Snake;2;Rock;Ground;8.8;210.0;35;45;160;30;45;70;45;50.0;25;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
96;Drowzee;Traumato;1;Normal;Hypnosis;1;Psychic;;1.0;32.4;60;48;45;43;90;42;190;50.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
97;Hypno;Hypno;1;Normal;Hypnosis;1;Psychic;;1.6;75.6;85;73;70;73;115;67;75;50.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
